language,github_url,local_path
Aiken,https://github.com/SundaeSwap-finance/sundae-contracts.git,data/ak
Aiken,https://github.com/PaimaStudios/paima-engine.git,data/ak
Aiken,https://github.com/fallen-icarus/cardano-swaps.git,data/ak
Aiken,https://github.com/minswap/minswap-stableswap.git,data/ak
Aiken,https://github.com/Cornucopias/mint-contract.git,data/ak
Aiken,https://github.com/lenfiLabs/lenfi-smart-contracts.git,data/ak
Aiken,https://github.com/fallen-icarus/cardano-loans.git,data/ak
Aiken,https://github.com/spacebudz/nebula.git,data/ak
Aiken,https://github.com/fallen-icarus/cardano-options.git,data/ak
Aiken,https://github.com/bodega-market/bodega-market-smart-contracts.git,data/ak
Aiken,https://github.com/Iagonorg/staking-and-rewards-contract.git,data/ak
Aiken,https://github.com/FluidTokens/ft-cardano-btc-eth-accounts.git,data/ak
Aiken,https://github.com/aiken-lang/aiken.git,data/ak
Aiken,https://github.com/minswap/minswap-lbe-v2.git,data/ak
Aiken,https://github.com/minswap/minswap-dex-v2.git,data/ak
Plutus,https://github.com/IndigoProtocol/indigo-smart-contracts.git,data/hs
Plutus,https://github.com/MuesliSwapTeam/muesliswap-cardano-contracts.git,data/hs
Plutus,https://github.com/Anastasia-Labs/discovery.git,data/hs
Plutus,https://github.com/Liqwid-Labs/plutip.git,data/hs
Plutus,https://github.com/fallen-icarus/cardano-swaps.git,data/hs
Plutus,https://github.com/spectrum-finance/cardano-dex-contracts.git,data/hs
Plutus,https://github.com/WingRiders/dex-v2-contracts.git,data/hs
Plutus,https://github.com/worldmobilegroup/earthnode-registration-plutus-smart-contract.git,data/hs
Plutus,https://github.com/worldmobilegroup/wmt-staking-plutus-smart-contract.git,data/hs
Plutus,https://github.com/MuesliSwapTeam/muesliswap-myield-contracts.git,data/hs
Plutus,https://github.com/nftmakerio/Smart-Contract-Revenue-Sharing.git,data/hs
Plutus,https://github.com/fallen-icarus/cardano-loans.git,data/hs
Plutus,https://github.com/cerraio/lending-plutus.git,data/hs
Plutus,https://github.com/ernius/plutus-cardano-samples.git,data/hs
Plutus,https://github.com/nftmakerio/Cardano-Smart-Contract-Auctions.git,data/hs
Plutus,https://github.com/fallen-icarus/cardano-options.git,data/hs
Plutus,https://github.com/ActaFi/cardano-staking-smart-contract.git,data/hs
Plutus,https://github.com/MuesliSwapTeam/muesliswap-cardano-pool-contracts.git,data/hs
Plutus,https://github.com/IntersectMBO/plutus-apps.git,data/hs
Plutus,https://github.com/jpg-store/contract-v2.git,data/hs
Plutus,https://github.com/metadex-fi/euclid-plutarch.git,data/hs
OpShin,https://github.com/cardano-apexpool/opshin-smart-contract-examples.git,data/py
OpShin,https://github.com/STEAKProtocol/STEAKProtocol.git,data/py
OpShin,https://github.com/OpShin/opshin,data/py
OpShin,https://github.com/teddy-swap/uada-contracts.git,data/py
OpShin,https://github.com/MuesliSwapTeam/muesliswap-onchain-governance.git,data/py
